,OR112,OR36,OR29,OR59,OR38,OR94,OR44,OR45,OR34,OR25,OR20,OR21,OR28,OR40,OR49,OR19,OR35,OR43,OR32,OR30,OR23,OR18,OR120,OR24,OR26,OR27,OR37,OR48,OR41,OR42,OR53,OR39,OR31,OR33,OR17,OR14,OR15,OR13,OR16,OR3,OR4,OR6,OR10,OR11,OR12,OR8,OR9,OR5,OR7,OR90,OR54,OR58,OR87,OR57,OR55,OR56,OR80,OR76,OR86,OR118,OR160,OR73,OR114,OR83,OR78,OR147,OR157,OR69,OR70,OR52,OR79,OR51,OR64,OR98,OR62,OR65,OR75,OR50,OR93,OR67,OR77,OR109,OR63,OR88,OR60,OR61,OR104,OR89,OR116,OR68,OR71,OR96,OR95,OR105,OR113,OR91,OR81,OR85,OR97,OR129,OR130,OR128,OR132,OR111,OR92,OR102,OR106,OR108,OR110,OR82,OR66,OR117,OR72,OR84,OR119,OR175,OR173,OR174,OR172,OR168,OR171,OR176,OR169,OR170,OR166,OR167,OR127,OR124,OR125,OR201,OR199,OR200,OR197,OR198,ORco,ORco2,OR179,OR180,OR165,OR159,OR192,OR193,OR194,OR178,OR190,OR164,OR163,OR191,OR145,OR177,OR162,OR146,OR195,OR158,OR137,OR136,OR133,OR134,OR135,OR138,OR139,OR141,OR142,OR144,OR140,OR143,OR74,OR123,OR186,OR182,OR188,OR183,OR184,OR187,OR181,OR185,OR189,OR101,OR99,OR100,OR103,OR115,OR161,OR196,OR155,OR156,OR148,OR150,OR151,OR153,OR152,OR154
OR20,4.839,82.418,45.0,86.207,81.443,86.364,88.66,81.443,92.784,93.814,,97.938,86.082,78.866,89.175,89.175,89.175,89.175,88.144,90.722,90.206,91.237,90.141,89.691,91.237,92.268,84.536,25.843,28.148,28.889,26.275,28.519,26.296,26.667,27.778,27.407,27.037,26.296,26.667,27.237,27.734,28.519,27.734,23.574,25.203,28.516,29.259,28.519,29.259,7.53,8.434,6.583,8.735,8.735,8.735,8.434,9.272,8.459,7.831,9.694,7.884,7.855,6.642,8.157,8.157,2.167,8.081,8.459,8.761,8.735,25.654,9.036,9.337,5.956,8.133,8.207,8.735,9.036,8.133,8.735,8.735,6.583,9.036,9.036,9.337,8.133,57.353,39.086,39.086,50.505,50.505,47.5,44.0,44.5,42.778,48.205,47.208,46.701,39.594,38.265,38.265,42.0,35.5,42.347,44.898,44.388,45.408,44.388,49.669,44.162,48.731,44.805,46.193,47.761,31.452,28.155,29.293,30.808,32.143,32.143,27.551,24.615,28.283,28.358,30.303,28.788,31.707,28.155,29.469,23.166,25.103,25.514,31.313,29.798,23.616,23.616,36.041,35.533,30.653,22.556,41.919,41.919,39.0,42.64,42.64,40.404,40.909,40.909,29.592,30.457,32.474,33.166,31.915,29.614,37.226,35.859,32.5,31.658,30.653,29.834,29.834,34.0,37.374,34.667,35.354,35.57,69.492,0.0,30.374,32.093,24.747,29.302,29.302,31.604,30.698,19.71,3.39,14.757,37.255,36.765,38.265,36.634,38.235,29.902,39.801,40.299,34.328,36.318,34.826,34.328,34.826,35.323
OR21,4.839,79.07,55.72,82.273,78.09,86.364,84.191,79.044,84.27,95.787,97.938,,83.989,79.213,50.843,83.427,76.966,85.484,84.551,87.64,84.831,88.202,90.141,85.674,85.955,86.517,82.303,25.468,36.343,37.731,25.49,38.426,30.368,37.269,35.417,35.88,35.88,36.111,28.61,37.947,38.278,35.88,35.646,34.588,36.029,37.799,34.028,38.426,38.426,7.736,16.667,15.67,18.511,18.31,19.115,18.31,19.486,18.548,16.097,21.823,14.496,16.7,16.934,16.901,16.7,8.642,8.081,19.316,18.31,20.523,30.165,19.517,19.718,6.27,20.121,20.243,15.051,20.724,16.097,19.92,14.286,6.897,19.92,9.309,19.751,18.712,50.794,36.944,37.222,45.706,47.091,40.496,38.567,37.741,42.778,41.62,40.278,40.0,36.111,35.321,35.321,37.692,32.883,36.49,38.719,37.086,40.0,39.554,39.172,39.612,43.611,44.805,42.222,44.78,27.152,22.572,27.632,27.324,27.778,27.778,25.397,24.615,27.105,27.154,28.158,26.579,27.806,26.718,27.411,23.789,27.586,27.931,29.771,28.499,24.678,24.678,30.079,31.135,27.321,24.667,32.732,32.234,39.0,33.592,28.042,31.959,42.289,33.763,28.283,25.984,32.99,26.276,31.915,27.316,28.44,30.0,30.769,30.334,28.333,29.282,29.282,28.389,25.672,34.667,29.563,35.57,49.362,51.765,28.522,26.555,23.441,25.837,25.349,27.869,24.88,19.343,3.39,19.629,33.596,35.079,35.829,37.867,37.401,29.396,34.752,40.299,28.836,30.159,30.688,30.159,29.894,32.09
OR28,4.839,79.947,56.348,82.0,80.052,87.5,88.235,83.088,83.461,81.425,86.082,83.989,,94.388,51.908,82.697,77.099,87.5,85.242,84.987,84.987,86.26,90.141,85.496,84.478,85.242,81.425,27.715,38.78,37.473,26.275,38.78,30.675,37.908,38.631,37.307,37.307,37.5,29.155,38.826,39.14,37.719,37.33,36.08,37.5,38.688,35.965,39.912,38.377,7.736,18.008,17.092,19.721,20.849,21.622,19.691,20.902,20.952,18.095,25.0,17.483,20.617,21.133,19.224,18.669,9.943,9.091,20.809,20.424,21.714,30.823,21.143,20.571,5.956,21.524,21.648,14.796,23.121,17.524,21.333,14.541,6.583,21.714,9.309,19.543,21.524,49.206,36.483,35.958,45.288,45.501,42.338,40.365,38.542,42.222,42.216,39.37,39.895,36.745,33.486,33.486,38.846,33.784,37.368,38.845,37.086,38.551,36.667,38.806,40.576,43.045,42.857,41.253,42.487,27.778,23.077,25.373,25.352,28.0,28.0,25.75,23.077,28.358,28.395,27.363,25.871,26.585,26.265,28.606,23.469,27.586,27.586,28.266,28.029,25.61,25.61,28.678,28.928,25.783,24.842,31.529,31.09,37.0,34.917,29.612,32.126,40.796,33.575,29.63,27.934,32.99,26.866,31.206,25.813,27.248,28.837,28.372,28.205,27.667,28.729,28.729,27.61,24.478,35.333,28.205,35.57,49.077,49.275,28.179,27.093,24.027,25.551,25.107,27.213,24.89,18.664,3.39,20.129,35.075,36.476,37.215,38.636,38.499,29.716,34.043,39.552,29.975,31.99,31.738,32.242,31.486,33.582
OR40,4.839,74.866,53.217,74.4,75.13,87.5,81.618,76.471,79.135,77.099,78.866,79.213,94.388,,47.074,77.863,72.265,79.839,80.916,79.898,80.662,81.17,90.141,80.916,80.153,80.916,77.099,23.221,35.73,34.423,24.706,35.512,27.607,35.076,35.099,34.216,34.216,34.43,24.796,35.44,35.747,35.088,34.615,32.739,34.028,35.294,32.675,36.623,35.307,6.017,16.667,15.717,17.53,18.726,19.498,17.761,18.852,18.667,16.0,22.135,15.152,18.882,19.172,17.375,16.821,10.317,9.091,18.69,18.304,19.429,28.546,18.857,17.524,4.702,19.048,19.157,11.224,20.231,14.914,18.286,10.459,4.702,18.857,4.805,17.048,18.857,40.476,32.546,32.283,41.885,41.902,38.442,36.719,35.417,41.667,38.786,36.22,35.958,32.808,31.193,31.193,33.077,31.532,34.211,35.171,32.45,34.783,33.077,34.627,38.482,41.732,42.857,38.381,39.637,25.0,21.092,23.632,23.38,26.0,26.0,23.75,23.077,26.368,26.42,25.373,24.378,25.122,25.783,28.125,22.245,25.862,25.862,28.266,28.029,24.187,24.187,26.933,27.431,24.337,23.158,28.706,28.306,37.0,32.067,26.699,29.71,34.826,30.676,26.936,26.291,28.866,24.627,31.206,24.729,25.068,26.977,26.512,26.34,25.0,28.729,28.729,25.986,21.791,35.333,27.04,35.57,43.173,49.275,27.148,25.771,22.654,24.67,24.249,25.902,23.789,17.808,3.39,18.968,33.085,34.739,35.443,36.364,35.593,26.357,30.496,39.552,27.708,29.471,29.723,29.975,29.219,29.851
OR49,5.645,49.465,36.348,34.4,48.964,87.5,69.118,63.971,54.198,50.127,89.175,50.843,51.908,47.074,,61.954,66.575,80.645,53.435,53.435,54.707,54.847,87.324,54.962,54.198,54.707,51.654,27.341,21.133,18.954,26.667,21.351,23.926,19.826,20.971,20.751,20.751,20.614,21.93,20.09,20.362,21.272,20.362,19.376,20.139,21.493,24.0,21.272,21.711,8.023,7.885,6.509,8.016,8.932,9.32,8.35,8.866,8.046,8.429,9.661,8.997,8.88,8.297,7.394,7.209,3.07,9.091,8.494,8.88,8.511,20.567,8.704,9.865,6.583,8.704,8.755,9.184,9.589,8.502,9.091,8.929,7.21,9.284,9.91,7.249,9.195,31.746,24.533,24.267,30.0,29.974,28.382,27.926,27.128,43.889,29.111,28.686,28.418,24.933,36.15,36.15,36.078,35.023,26.273,26.738,29.73,26.036,24.543,25.61,25.722,29.443,48.052,28.534,30.909,16.887,20.175,17.738,18.261,18.863,18.863,16.279,26.923,17.995,18.112,16.967,16.967,17.975,17.043,18.0,14.73,24.567,23.875,17.026,16.307,15.866,15.866,21.067,20.0,19.107,15.368,23.75,23.399,37.0,24.81,28.324,23.785,42.786,25.32,22.145,19.315,34.021,19.792,32.624,19.091,15.493,18.66,17.703,17.506,21.993,32.044,32.044,18.9,21.951,36.667,18.705,36.913,24.314,7.292,23.024,17.471,14.354,15.862,15.265,21.667,16.628,13.538,3.955,12.746,22.938,23.65,24.147,23.238,23.25,18.649,29.562,41.045,20.0,22.338,21.558,20.681,21.299,27.969
OR19,5.645,79.947,57.565,83.2,78.238,87.5,91.176,86.029,85.242,78.372,89.175,83.427,82.697,77.863,61.954,,93.059,100.0,86.005,84.733,85.751,87.755,87.324,86.514,86.26,86.768,83.715,27.341,37.908,36.601,26.667,38.344,31.595,38.562,37.748,36.424,36.865,37.061,29.155,37.923,38.235,38.158,37.783,36.748,38.194,39.14,35.307,40.132,39.035,8.596,18.199,17.092,19.124,19.691,19.884,18.919,20.082,19.81,18.095,25.0,17.249,20.039,20.915,17.528,17.528,8.795,9.091,20.039,19.653,19.81,30.298,20.19,20.762,6.583,20.571,20.69,15.051,22.158,16.762,20.381,14.796,7.21,21.524,9.91,18.711,20.381,49.206,35.958,35.433,45.288,45.758,41.299,40.885,38.281,43.889,42.48,40.682,40.157,36.745,35.78,35.78,39.231,34.685,37.632,38.32,37.417,38.261,36.667,38.507,39.529,44.357,48.052,41.514,46.373,28.395,23.573,26.119,26.197,27.5,27.5,25.0,26.923,27.114,27.16,26.368,25.622,26.341,26.747,27.885,24.335,31.379,30.69,27.791,27.078,23.984,23.984,28.18,28.18,25.783,23.789,30.733,30.303,37.0,33.174,28.537,31.884,42.786,33.816,28.956,27.465,34.021,27.612,32.624,26.201,26.648,28.806,29.742,29.108,28.333,32.044,32.044,27.336,25.97,36.667,29.108,36.913,47.955,51.456,29.21,25.991,23.341,23.789,23.391,27.213,23.348,19.007,3.955,19.613,34.826,35.98,36.709,37.626,37.53,29.716,34.752,41.045,28.463,31.486,30.73,30.982,30.73,32.836
OR35,5.645,74.599,53.391,73.6,72.28,87.5,91.176,86.029,80.153,72.774,89.175,76.966,77.099,72.265,66.575,93.059,,100.0,80.153,78.88,80.662,81.633,87.324,80.916,80.407,80.916,77.863,27.341,35.294,33.333,26.667,35.73,31.595,34.858,34.658,33.333,33.333,34.649,29.155,34.989,35.294,35.088,34.615,33.63,34.954,35.973,37.269,36.842,35.965,8.596,16.667,15.521,17.365,17.988,17.988,17.215,18.275,17.557,16.412,22.454,14.72,17.954,18.559,15.896,15.712,6.705,9.091,18.34,17.761,18.269,29.152,19.231,19.231,6.583,19.231,19.342,15.051,20.623,15.385,19.038,14.796,7.21,20.0,9.91,16.25,17.748,49.206,34.828,34.301,43.307,44.072,38.542,37.859,35.509,43.889,39.947,39.211,38.421,35.0,35.78,35.78,39.231,34.685,35.092,35.263,37.417,35.756,33.933,35.928,36.649,41.316,48.052,39.426,43.005,28.254,22.335,24.682,25.36,26.087,26.087,23.529,26.923,25.7,25.758,24.682,24.173,24.57,24.818,25.971,22.998,31.379,30.69,25.714,24.762,22.541,22.541,28.278,28.278,24.634,22.293,29.286,28.873,37.0,30.843,30.548,29.684,42.786,32.117,28.956,26.54,34.021,26.196,32.624,24.39,24.451,26.464,26.932,26.056,28.333,32.044,32.044,25.935,25.97,36.667,27.465,36.913,46.038,46.04,29.21,25.169,22.43,22.921,22.078,27.213,22.697,18.389,3.955,18.158,32.915,34.336,35.038,35.459,35.941,28.982,34.752,41.045,27.226,30.28,30.025,29.262,29.262,32.836
OR43,5.645,84.322,50.23,84.821,80.645,87.5,92.742,87.097,88.71,83.065,89.175,85.484,87.5,79.839,80.645,100.0,100.0,,88.71,88.306,89.516,91.532,87.324,90.726,90.323,91.129,86.29,27.341,33.333,33.333,26.667,33.333,31.79,32.099,32.716,32.407,31.79,31.173,28.395,32.154,32.581,32.407,31.613,29.653,31.333,32.903,33.642,33.642,33.951,8.596,12.694,10.992,13.212,12.694,13.212,12.435,13.483,12.987,11.658,16.4,8.814,13.766,13.846,13.506,13.506,2.122,9.091,13.766,13.506,13.731,27.523,13.212,14.508,6.583,13.731,13.838,15.026,15.026,9.845,14.767,14.767,7.21,15.026,9.91,13.99,14.249,49.206,41.036,39.442,50.794,50.397,42.126,40.551,38.583,43.889,44.578,42.629,43.028,37.849,35.78,35.78,39.37,34.685,39.6,39.2,37.6,38.8,38.0,40.0,41.27,47.41,48.052,45.02,49.804,28.177,23.077,25.869,26.255,28.405,28.405,24.514,26.923,27.027,27.099,26.255,25.869,28.148,26.568,28.309,24.847,31.379,30.69,28.195,27.068,23.837,23.837,33.597,32.411,29.297,24.316,33.46,33.46,37.0,34.351,34.351,33.08,42.786,35.741,29.389,33.202,34.021,29.323,32.624,28.716,31.034,32.197,31.203,30.566,29.434,32.044,32.044,31.086,25.857,36.667,33.208,36.913,56.667,49.091,28.421,28.671,24.535,26.923,26.923,27.562,27.622,20.192,3.955,16.038,35.741,37.5,38.672,37.023,37.5,28.788,35.249,41.045,30.651,34.483,33.716,32.567,32.184,32.95
OR32,4.839,81.283,58.957,84.4,79.793,90.909,90.441,85.662,86.768,81.425,88.144,84.551,85.242,80.916,53.435,86.005,80.153,88.71,,86.26,88.041,88.55,90.141,87.532,87.532,88.041,84.733,25.843,39.216,39.434,27.059,39.216,30.982,38.562,37.086,35.762,36.203,35.526,28.883,36.343,36.652,35.746,35.52,35.189,36.574,37.104,33.553,38.377,36.623,8.883,17.816,16.896,18.924,20.077,20.463,19.305,20.492,20.571,18.095,24.74,17.249,20.039,20.915,17.897,18.081,8.222,7.071,20.231,19.846,19.238,30.473,20.381,20.0,6.27,20.952,21.073,14.541,22.351,16.571,20.19,14.031,6.583,21.143,9.009,19.335,21.714,46.032,36.483,35.171,45.026,46.015,41.558,39.844,39.063,44.444,41.953,39.895,39.633,36.483,33.486,33.486,37.692,31.982,37.632,38.32,36.755,37.971,34.872,37.015,40.052,43.57,43.506,40.992,43.782,27.16,22.581,25.124,25.634,27.75,27.75,25.5,26.154,28.109,28.148,28.109,26.119,26.341,26.747,28.125,24.44,29.31,28.966,29.454,29.216,25.0,25.0,27.431,28.928,26.202,23.789,31.294,30.858,37.0,34.442,29.369,32.367,40.796,33.816,28.956,27.7,33.505,27.612,34.043,25.597,27.52,29.535,29.302,29.138,28.333,30.387,30.387,27.842,25.075,36.0,29.138,36.242,48.897,48.792,28.866,25.934,22.603,25.275,24.839,27.213,24.396,20.0,3.955,19.355,32.09,33.747,34.43,36.869,35.749,29.199,35.461,39.552,30.227,32.242,32.242,32.746,32.997,33.582
OR30,4.839,80.749,57.739,83.6,78.756,88.636,89.338,84.191,85.242,83.715,90.722,87.64,84.987,79.898,53.435,84.733,78.88,88.306,86.26,,86.514,88.295,91.549,86.26,86.26,86.768,82.952,27.341,37.473,37.037,26.667,37.473,30.675,37.037,37.307,35.762,35.982,36.623,29.155,36.117,36.425,36.404,36.199,35.412,36.806,37.557,34.211,39.035,37.719,8.023,17.816,16.896,19.124,20.27,20.27,20.27,21.516,19.429,17.905,26.563,17.483,20.231,20.915,17.343,17.343,8.987,8.081,20.424,19.846,20.19,31.349,19.81,19.619,6.27,21.333,21.456,14.796,21.965,16.762,20.381,14.286,6.897,20.571,9.61,18.919,20.571,50.0,36.22,35.696,44.764,45.501,43.117,40.885,39.323,42.778,43.008,39.895,40.157,37.008,33.486,33.486,38.462,32.432,37.368,38.845,37.417,39.42,37.949,39.104,39.005,43.045,44.805,43.081,45.078,29.012,23.573,27.363,26.761,29.75,29.75,27.5,25.385,29.353,29.383,29.104,27.861,26.585,27.952,28.365,24.025,29.31,29.31,28.266,27.316,24.797,24.797,28.18,29.426,26.699,24.0,30.353,29.93,36.0,34.442,28.883,32.609,41.294,34.3,28.956,26.761,34.021,27.612,32.624,26.464,28.883,30.0,30.93,29.138,29.0,31.492,31.492,27.146,24.478,36.667,29.604,37.584,46.642,51.961,28.522,27.051,23.963,26.608,26.134,28.197,25.499,19.277,3.39,19.871,33.333,34.243,34.937,36.111,35.61,32.041,36.525,40.299,28.463,30.982,31.234,30.73,30.982,32.836
OR23,4.839,81.283,59.652,83.6,79.016,87.5,89.338,84.191,87.023,81.679,90.206,84.831,84.987,80.662,54.707,85.751,80.662,89.516,88.041,86.514,,88.804,90.141,88.041,89.059,89.567,85.751,26.966,37.691,36.601,25.882,38.562,30.675,37.473,37.528,36.203,35.762,36.623,28.61,36.569,36.878,36.842,36.425,36.08,37.5,37.783,34.868,39.254,36.842,8.023,18.774,17.878,18.725,19.691,20.27,19.305,20.492,19.81,18.095,24.219,17.016,19.075,20.044,17.712,17.897,9.56,8.081,20.039,18.882,20.381,30.473,20.952,20.571,5.956,21.714,21.839,15.051,23.121,17.143,20.762,14.541,6.583,21.714,8.709,20.374,22.095,49.206,35.958,36.22,46.335,46.53,42.338,40.885,39.583,41.667,41.689,40.42,40.42,37.27,32.569,32.569,38.462,31.532,38.158,39.108,38.079,38.841,36.923,38.806,39.267,43.307,44.805,41.253,44.301,27.16,23.325,26.617,26.479,27.5,27.5,25.25,25.385,27.363,27.407,27.114,25.622,26.098,26.265,27.404,24.44,30.0,30.345,28.741,28.029,24.187,24.187,29.177,29.925,25.962,24.421,31.529,31.09,36.0,34.442,29.126,31.401,42.289,33.333,27.946,27.934,32.474,26.119,32.624,25.163,26.703,28.605,28.837,28.671,28.0,31.492,31.492,28.074,24.776,36.667,29.604,36.913,48.162,49.275,30.241,26.813,23.973,26.374,25.91,28.197,24.615,19.829,3.39,19.742,33.582,35.236,35.949,37.121,37.44,30.491,35.106,41.791,28.715,30.982,31.99,31.486,30.982,32.09
OR18,4.839,81.551,58.957,84.0,80.829,89.773,90.074,84.926,84.987,84.733,91.237,88.202,86.26,81.17,54.847,87.755,81.633,91.532,88.55,88.295,88.804,,91.549,87.023,87.532,88.041,84.224,27.341,37.691,37.691,25.882,38.78,29.755,37.037,37.528,35.982,36.203,36.623,29.155,38.375,38.688,37.5,37.104,36.971,38.426,38.914,35.746,41.228,39.035,8.309,18.199,17.289,19.124,19.691,20.849,20.27,21.516,19.619,18.286,25.26,17.716,19.653,20.261,18.819,17.897,8.413,8.081,19.653,19.653,20.952,31.173,20.381,21.524,6.27,22.095,22.222,16.071,23.314,16.952,20.952,15.306,6.897,22.095,9.91,19.335,21.714,51.587,36.745,37.27,45.026,46.272,41.039,39.844,38.542,43.333,40.633,39.37,38.845,35.696,33.945,33.945,38.462,32.883,37.105,38.058,36.755,38.261,36.923,38.209,40.314,41.995,45.455,42.037,45.337,27.778,22.829,25.373,24.507,28.25,28.25,26.0,24.615,28.109,28.148,27.612,26.368,25.61,26.747,27.644,24.033,28.621,28.621,28.504,27.553,23.78,23.78,29.177,28.928,26.683,23.158,30.353,29.93,36.0,33.967,28.641,31.401,41.791,33.092,27.946,28.169,33.505,26.617,31.915,25.87,27.049,28.904,29.138,28.037,27.667,30.387,30.387,27.442,24.478,36.0,29.206,36.242,49.815,50.242,27.835,25.275,22.603,25.055,24.625,27.213,23.956,18.632,3.39,19.484,32.836,33.499,34.177,36.869,36.473,30.749,34.752,40.299,29.219,30.982,31.486,31.738,31.738,32.09
OR120,4.839,84.746,25.292,0.0,81.69,78.571,88.732,71.831,90.141,88.732,90.141,90.141,90.141,90.141,87.324,87.324,87.324,87.324,90.141,91.549,90.141,91.549,,91.549,91.549,91.549,73.239,6.207,6.207,6.207,6.207,5.517,5.517,5.517,5.517,6.207,5.517,5.517,5.517,0.0,0.763,6.207,0.763,6.522,7.438,0.763,6.207,6.207,6.207,2.899,2.899,0.0,4.348,4.348,4.831,4.348,5.085,3.883,3.865,0.0,0.0,4.369,0.0,4.369,3.883,3.535,8.081,3.883,3.883,3.865,15.444,3.382,3.865,3.382,3.382,3.431,3.865,3.382,3.865,3.865,3.865,3.865,3.865,3.865,3.865,4.348,0.0,40.541,45.946,46.667,46.667,40.26,37.662,37.662,37.662,45.833,40.541,41.892,39.189,39.726,39.726,36.364,36.364,39.726,41.096,38.356,38.356,39.726,53.571,47.297,47.297,45.946,43.243,42.466,0.0,24.39,32.432,32.432,31.944,31.944,31.944,25.974,27.027,25.974,28.378,28.378,32.877,25.333,27.632,31.169,27.397,27.397,41.096,38.356,35.616,35.616,39.189,37.838,36.486,28.736,28.0,28.0,28.0,32.432,32.432,33.333,33.333,33.333,36.986,25.676,31.081,28.947,30.263,28.125,35.714,33.333,33.766,30.263,32.895,32.895,32.895,35.065,32.0,33.333,33.333,33.333,0.0,0.0,33.784,33.784,33.784,33.784,33.784,33.784,35.135,14.706,3.955,7.539,36.486,35.135,39.394,34.667,34.667,32.468,39.189,37.838,33.784,39.189,35.135,36.486,36.486,36.486
OR24,4.839,82.62,61.391,87.2,80.052,86.364,90.441,85.662,86.514,82.697,89.691,85.674,85.496,80.916,54.962,86.514,80.916,90.726,87.532,86.26,88.041,87.023,91.549,,93.639,93.639,90.076,28.09,38.78,37.691,26.667,39.651,31.595,37.908,37.086,35.099,35.541,36.623,31.335,37.02,37.33,36.404,35.747,36.08,37.5,37.783,34.868,39.474,38.158,7.736,17.816,17.092,19.124,19.691,20.656,19.112,20.287,19.429,17.714,25.781,17.483,20.424,20.915,18.45,17.712,9.369,8.081,21.387,20.039,20.19,30.473,20.952,20.381,6.583,21.905,22.031,15.051,22.929,17.524,21.333,15.051,6.897,21.714,9.91,19.751,20.571,48.413,36.22,37.27,46.335,47.044,42.078,41.146,39.063,43.889,42.216,39.895,39.37,36.22,34.404,34.404,38.462,32.883,37.632,39.895,38.079,39.42,36.667,40.0,40.576,44.357,46.753,40.47,44.819,27.469,22.581,26.368,25.915,26.5,26.5,24.5,26.154,27.861,27.901,28.109,26.617,27.561,26.747,27.644,24.033,29.31,28.621,28.979,28.029,25.407,25.407,29.426,29.676,26.442,25.053,32.941,32.483,37.0,35.392,30.097,31.884,42.786,34.3,30.64,28.638,31.959,26.368,32.624,25.813,26.158,28.605,29.302,28.671,28.0,32.597,32.597,27.61,24.478,36.667,28.438,36.913,48.529,51.208,29.897,26.813,23.744,25.934,25.482,28.197,25.495,21.026,3.955,19.355,35.572,35.98,36.709,36.364,35.99,30.491,34.752,41.045,28.715,31.486,31.738,31.486,31.738,33.582
OR26,4.032,81.283,61.565,86.8,79.534,87.5,89.338,84.926,86.514,82.443,91.237,85.955,84.478,80.153,54.198,86.26,80.407,90.323,87.532,86.26,89.059,87.532,91.549,93.639,,99.491,95.929,27.341,38.562,37.908,26.275,40.087,31.902,37.908,38.19,35.541,35.982,36.404,29.973,36.569,36.878,36.404,36.199,35.412,36.806,37.783,34.649,39.035,37.939,7.163,17.625,17.092,18.526,19.498,21.042,19.305,20.492,18.857,17.333,26.042,17.249,20.231,20.915,18.081,18.081,9.369,7.071,20.809,19.846,20.0,30.473,20.571,20.19,6.27,21.714,21.839,14.541,22.929,16.571,20.381,14.541,6.27,21.143,9.009,18.503,20.952,47.619,35.433,37.27,47.382,47.558,42.597,41.146,39.844,42.778,42.48,40.157,40.157,37.008,34.404,34.404,38.846,33.333,38.421,40.157,37.748,40.0,36.923,39.701,40.576,45.144,46.753,40.992,44.819,27.16,23.077,25.373,25.07,26.25,26.25,24.25,26.154,27.612,27.654,26.866,25.622,27.561,26.747,28.125,24.033,30.345,29.655,28.741,28.266,24.593,24.593,29.177,29.676,27.163,24.632,33.647,33.179,37.0,35.629,30.825,33.092,42.289,34.541,29.966,28.873,34.021,26.368,31.915,25.813,26.975,29.07,29.535,29.837,28.0,31.492,31.492,27.378,24.179,37.333,29.371,38.255,49.265,48.309,30.241,26.813,23.516,25.934,25.482,27.869,25.495,20.684,3.955,19.226,35.323,35.98,36.709,36.616,36.232,29.716,35.106,41.045,27.708,30.73,30.73,31.486,31.486,32.463
OR27,4.839,81.283,61.565,86.8,80.052,89.773,90.074,84.926,87.023,82.952,92.268,86.517,85.242,80.916,54.707,86.768,80.916,91.129,88.041,86.768,89.567,88.041,91.549,93.639,99.491,,96.183,27.341,38.562,37.908,26.275,40.087,31.902,37.908,38.19,36.203,36.645,36.404,29.973,36.569,36.878,36.623,36.199,35.635,37.037,37.783,34.868,39.254,38.158,7.736,18.008,17.092,18.725,19.691,21.236,19.498,20.697,18.857,17.524,26.042,17.249,20.231,20.915,18.081,18.266,9.56,8.081,21.002,20.039,20.19,30.648,20.762,20.381,6.27,21.714,21.839,14.796,23.121,16.762,20.571,14.796,6.583,21.333,9.309,18.711,21.143,47.619,35.433,37.27,47.382,47.558,42.597,41.146,39.844,42.778,42.48,40.157,40.157,37.008,34.404,34.404,38.846,33.333,38.421,40.157,37.748,40.0,36.923,39.701,40.576,45.144,46.753,40.992,44.819,27.16,23.077,25.373,25.07,26.25,26.25,24.25,26.154,27.612,27.654,26.866,25.622,27.561,26.747,28.125,24.033,30.345,29.655,28.741,28.266,24.593,24.593,29.177,29.676,27.163,24.632,33.647,33.179,37.0,35.629,30.825,33.092,42.289,34.541,29.966,28.873,34.021,26.368,31.915,25.813,26.975,29.07,29.535,29.837,28.0,31.492,31.492,27.378,24.179,37.333,29.371,38.255,49.265,48.309,30.241,26.813,23.516,25.934,25.482,27.869,25.495,20.513,3.39,19.355,35.323,35.98,36.709,36.616,36.232,29.716,35.106,41.045,27.708,30.73,30.73,31.486,31.486,32.463
OR37,2.4,81.016,59.13,86.8,77.003,77.273,84.926,84.058,83.206,79.135,84.536,82.303,81.425,77.099,51.654,83.715,77.863,86.29,84.733,82.952,85.751,84.224,73.239,90.076,95.929,96.183,,25.094,37.473,36.601,23.922,38.998,30.675,37.037,37.225,34.581,35.242,34.934,28.184,36.569,36.652,35.088,35.973,34.076,35.417,37.557,33.333,37.719,36.623,6.59,17.241,17.289,17.331,18.34,19.461,18.147,19.262,17.524,16.381,26.042,17.249,19.075,20.915,17.159,17.343,8.987,3.03,20.039,19.075,19.048,29.247,20.0,19.238,4.389,20.571,20.69,13.265,22.158,15.619,19.429,13.265,4.702,20.19,7.508,17.464,19.619,47.619,35.433,37.27,47.382,47.558,42.597,41.146,39.844,42.778,42.48,40.157,40.157,37.008,34.404,34.404,38.846,33.333,38.421,40.157,37.748,40.0,36.923,39.701,40.576,45.144,46.753,40.992,44.819,27.16,23.077,25.373,25.07,26.0,26.0,24.0,25.385,27.612,27.407,26.866,25.622,27.561,26.747,28.125,24.033,30.345,29.655,28.741,28.266,24.593,24.593,29.177,29.676,27.163,24.632,33.647,33.179,37.0,35.629,30.825,33.092,42.289,34.541,29.966,28.873,34.021,26.368,31.915,25.813,26.975,29.07,29.535,29.837,28.0,31.492,31.492,27.378,24.179,37.333,29.371,38.255,49.265,48.309,30.241,26.813,23.516,25.934,25.482,27.869,25.495,19.795,0.562,18.428,35.323,35.98,36.709,36.616,36.232,29.716,35.106,41.045,27.708,30.73,30.73,31.486,31.486,32.463
